MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",132.0
Water,682.0
NEB BsaI-HFv2,44.0
Promega T4 DNA Ligase,22.0

SOURCE_PLATES
Deck position,Source plate,Path
2,BIOLEGIO_BASIC_STD_SET.csv,C:/Users/Liam/Documents/Programming/DNA-BOT/examples/part_linker_csvs/BIOLEGIO_BASIC_STD_SET.csv
5,parts_linkers_160120.csv,C:/Users/Liam/Documents/Programming/DNA-BOT/examples/part_linker_csvs/parts_linkers_160120.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_37_CmR-p15A_v1.0,LMP-S,6,"('A7', 'B7', 'C7', 'D7', 'E7', 'F7')"
LMP-P,BASIC_L3S2P21_J23106_RiboJ,UTR1-S,3,"('G7', 'H7', 'A8')"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('B8',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('C8',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('D8',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('E8',)"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('F8',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('G8',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('H8',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('A9',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,2,"('B9', 'C9')"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('D9',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('E9',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('F9',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('G9',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('H9',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('A10',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,2,"('B10', 'C10')"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,2,"('D10', 'E10')"
LMP-P,BASIC_L3S2P21_J23106_RiboJ,UTR3-S,4,"('F10', 'G10', 'H10', 'A11')"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('B11',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('C11',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('D11',)"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('E11',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('F11',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('G11',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('H11',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('A12',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('B12',)"

